Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
3.68,0.08,0.16,65,0.48,9.93,2.77,2,1.21,3.01,234.29
2.34,0.05,0.26,62.38,0.43,10.04,2.01,3.01,1.01,2.44,307.16
4.1,0.04,0.05,70.73,0.71,13.06,0.37,0.76,0.74,1.56,1093.23
1.87,0.02,0.02,62.84,0.3,8.11,2.2,2.73,0.38,1.93,895.16
3.77,0.09,0.11,68.45,0.51,11.97,1.08,1.25,1.59,2.37,336.55
4.73,0.15,0.12,67.84,0.6,11.53,0.78,1.19,1.19,2.32,848.31
13.06,0.12,0.22,51.39,2.05,20.37,0.03,0.29,0.37,2.25,1457.65
3.24,0.08,0.12,59.4,0.54,4.35,0.48,1.24,0.53,1.68,515.17
7.76,0.05,0.11,53.56,1.15,10.96,0.29,0.63,0.43,1.88,1228.89
7.95,0.22,0.27,60.9,1.66,13.94,0.99,1.45,0.88,1.82,1392.19
5.07,0.07,0.24,69.47,0.58,13.97,3.04,1.78,1.68,3.24,378.34
9.09,0.15,0.17,57.33,1.68,15.68,0.78,1.17,0.94,1.65,1118.29
5.42,0.07,0.09,64.81,0.8,12.74,1.03,1.22,1.35,1.84,1221.19
1.35,0.01,0.04,71.9,0.59,6.23,0.01,0.07,0.18,0.98,1154.25
2.77,0.02,0.14,62.39,0.44,9.89,0.7,2.21,0.63,1.6,652.86
9.82,0.05,0.16,56.96,1.03,8.91,0.6,0.65,1.33,1.05,1134.98
4.02,0.16,0.1,68.46,0.67,8.5,0.52,1.02,0.6,1.65,1020.01
4.87,0.06,0.06,62.11,0.86,12.47,1.81,2.14,1.29,1.56,458
4.63,0.08,0.24,61.05,0.6,12.18,3.13,2.79,1.39,3.11,392.33
4.13,0.07,0.27,65.27,0.8,10.68,0.99,1.69,0.78,1.79,1202.3
8.84,0.17,0.18,56.28,1.7,14.19,0.76,1.14,0.85,1.58,1118.29
8.84,0.12,0.18,59.95,1.41,17.25,0.81,1.25,1.12,1.9,1113.29
2.73,0.08,0.07,74.87,0.62,8.64,0.05,0.12,0.37,1.21,1222.11
3.26,0.05,0.12,73.57,0.55,9.58,2.79,1.11,0.96,2.27,397.1
4.54,0.07,0.04,70.37,0.55,11.91,0.74,0.8,0.93,1.68,743.34
3.95,0.17,0.18,68.37,0.57,9.92,0.34,0.76,0.88,2.45,649.2
3.52,0.12,0.14,67.35,0.63,10.5,1.01,1.36,0.9,2.11,783.77
